dataset,transform,model,repeat,Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",8-19280,0.6936790923824959,0.6696428571428571,0.7763157894736842,0.13785425101214574,0.822425032594524,0.6384615384615384,0.7224199288256228,0.6626506024096386,0.07012601554443243,0.9043009645419284,0.7327766179540709
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",8-19280,0.6572123176661264,0.5431547619047619,0.6118421052631579,0.08876518218623475,0.8549214226633582,0.5230769230769231,0.7935943060498221,0.7349397590361446,0.06881806977387628,0.9143795963073073,0.8037578288100209
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",8-19280,0.6523500810372771,0.5297619047619048,0.5986842105263158,0.08906882591093124,0.8512256973795435,0.5096153846153846,0.798932384341637,0.7228915662650602,0.08921699323389587,0.8901415430358969,0.8121085594989561
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",8-19280,0.6693679092382496,0.5833333333333334,0.6578947368421053,0.09635627530364377,0.8535384615384615,0.5615384615384615,0.7722419928825622,0.6867469879518072,0.10030937948034313,0.8725512128087948,0.7870563674321504
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",9-21690,0.6742301458670988,0.7633928571428571,0.8026315789473685,0.05070850202429156,0.9368221941992433,0.7519230769230769,0.5676156583629893,0.4578313253012048,0.12880750559649873,0.7804313338764309,0.5866388308977035
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",9-21690,0.6482982171799028,0.5461309523809523,0.6381578947368421,0.11892712550607287,0.8136399682791435,0.5192307692307693,0.7704626334519573,0.6626506024096386,0.12649344769474558,0.8397080385032193,0.7891440501043842
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",9-21690,0.6474878444084279,0.5505952380952381,0.6447368421052632,0.12165991902834006,0.8113029827315542,0.5230769230769231,0.7633451957295374,0.6626506024096386,0.11814271700581025,0.8486888731396174,0.7807933194154488
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",9-21690,0.6158833063209076,0.43452380952380953,0.5263157894736842,0.1186234817813765,0.7746153846153846,0.4076923076923077,0.8327402135231317,0.7469879518072289,0.10061121311970223,0.8812985933883316,0.8475991649269311
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",9-21690,0.6175040518638574,0.44642857142857145,0.5460526315789473,0.12874493927125502,0.7642261353104727,0.4173076923076923,0.8220640569395018,0.7469879518072289,0.08808511708629929,0.8945180722891566,0.8350730688935282
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",9-21690,0.6418152350081038,0.5193452380952381,0.6118421052631579,0.11953441295546552,0.8046319272125725,0.49230769230769234,0.7882562277580071,0.6987951807228916,0.1049626480871293,0.8694101079643248,0.8037578288100209
