dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR-ratio,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed,PR_t,t_s0,t_s1
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",4,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9640.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",4,0.8448781027143568,0.8965380811078141,0.06005059596820673,0.9330194698545268,0.8364874851396074,0.7439001621948025,0.9366368398918008,0.6346829839864602,0.9441402374039908,0.9600376116596144,0.01884320472491041,0.9803724307297332,0.941194406934704,0.543660086985614,0.9692920449774324,0.5593008739076155,0.017174986080037757,0.9692920449774324,0.5421258878275778,0.17676488473658025,0.12225519287833828,0.06336316010819901,0.6586374187212259,0.18561835298653728,9640.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",4,0.8230416275084306,0.8666666666666667,0.050710621298289627,0.9414877446558196,0.8159560453683771,0.7881159455891984,0.9029710742479196,0.6681870011402509,0.8573738561611113,0.8949224259520452,0.04450643083073147,0.95026783379198,0.8504159951213137,0.7188580350172856,0.9965582871546804,0.7166042446941323,0.002474863804520666,0.9965582871546804,0.719079108498653,0.2854497208248107,0.2019782393669634,0.0970289257520804,0.6754963189144639,0.2990071651190438,9640.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",4,0.7882138316103711,0.837190900098912,0.05693192763481793,0.9319964805779762,0.7802589724640941,0.7979371907341525,0.8764042405626278,0.656689667532933,0.7786556907133144,0.8413258110014105,0.07428307893711639,0.9117071199221868,0.7670427320642941,0.8172186907549905,0.9973297423164864,0.815230961298377,0.0021827051233717087,0.9973297423164864,0.8174136664217487,0.3690364309801537,0.2627101879327399,0.12359575943737228,0.68005732171926,0.38630594737011215,9640.0,0.4,0.2012858555885263,0.11468474547226608
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",4,0.7592459505776992,0.8136498516320475,0.06324018675398302,0.9222759192702688,0.7504096648780645,0.8032048896579075,0.8532356589166503,0.6470540562444282,0.7160339568556834,0.8004231311706629,0.1000267379137042,0.8750326745712489,0.7003963932569587,0.8903758224601316,0.9920131446467068,0.8838951310861424,0.007116380057624494,0.9920131446467068,0.8910115111437669,0.4342694455193764,0.3080118694362018,0.14676434108334968,0.6772822815079065,0.4547762105195514,9640.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",5,0.8470617502349495,0.8969337289812067,0.057972189283876825,0.935366251250552,0.8389615396973299,0.7640443245329323,0.9116436672425065,0.6601977522569551,0.928668553158649,0.9579219558063,0.03467414468115293,0.9638027456506444,0.9232478111251472,0.5994200959072153,0.9518700688419376,0.5730337078651685,0.028974619345216057,0.9518700688419376,0.6020083272103846,0.20222234507159048,0.1262116716122651,0.0883563327574936,0.5882129163804323,0.2145680043697587,12050.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",5,0.8302835977665984,0.8761622156280909,0.053330226423965454,0.9391320174817916,0.8228319892041256,0.7654895212596986,0.9102665271227054,0.6504213163288545,0.8939767005990225,0.92524682651622,0.03706457273741615,0.9599408809895914,0.8881822537788039,0.6370023419203747,0.9630226061071868,0.6154806491885143,0.02363274782348668,0.9630226061071868,0.639113397012001,0.2376306042346177,0.16043521266073196,0.08973347287729458,0.6413081330130954,0.2501686855380265,12050.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",5,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,12050.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",5,0.8086406103156615,0.8718100890207715,0.07342947018582624,0.9157735484934532,0.7983806188349453,0.6704623247154478,0.9524337006484559,0.5066628661013326,0.9444709859983096,0.9590973201692524,0.017336637153178902,0.9819240062623472,0.9417606830160736,0.39645366343258615,0.9682977303520752,0.40823970037453183,0.012942125062261443,0.9682977303520752,0.3952975753122704,0.14002985239648405,0.09910979228486648,0.04756629935154391,0.6757051621647095,0.14667609163641038,12050.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",5,0.8183702802808337,0.8613254203758655,0.049931917178872916,0.9420289753469908,0.8113935031969925,0.7894967942287885,0.8951186214246508,0.6664974876922297,0.8467531512991071,0.8890456041372825,0.05012936943762658,0.9436144004263184,0.8389162346996559,0.73224043715847,0.9728729978417868,0.714107365792759,0.019911737807534857,0.9728729978417868,0.7340191036002939,0.2967549339377522,0.20652818991097924,0.1048813785753492,0.6632043803755062,0.31140956848632845,12050.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",5,0.7758306152910609,0.8265084075173096,0.05890888304987396,0.9287256094262536,0.7675995244674356,0.8026778509142156,0.8622466622255914,0.6543052003410059,0.7494395648818493,0.8234602726845323,0.0877369638898291,0.8934533130495766,0.7357233087947032,0.8559161369465819,0.9830658105939004,0.8426966292134831,0.014516204487227125,0.9830658105939004,0.8572128337007102,0.40060257615125217,0.2820969337289812,0.13775333777440854,0.6718988955725937,0.41985027150338977,12050.0,0.4,0.2012858555885263,0.11468474547226608
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",5,0.7405052794516004,0.7948565776458951,0.06317904013344455,0.9205151697674059,0.7316775375124506,0.7995695731407896,0.8459496259266501,0.6365185070466161,0.6824445996104517,0.7740949694405266,0.10863345443421046,0.8596639188693801,0.6654615150063161,0.9166945466711276,0.9861505672945508,0.9051186017478152,0.012711425193159598,0.9861505672945508,0.9178300269409748,0.4660567195533197,0.3335311572700297,0.15405037407334982,0.6840520729960551,0.4875815313433795,12050.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",6,0.8478633423627621,0.8935707220573691,0.053131175741139784,0.9405406036370464,0.8404395463162292,0.7627453280044871,0.9210132045872804,0.6593216142609557,0.931535040976076,0.95322049835449,0.025703836769788047,0.9730347418942841,0.9275166615847018,0.5939556150328984,0.9683341957421644,0.5767790262172284,0.01886143422852227,0.9683341957421644,0.5956404604457507,0.1987119243739289,0.1307616221562809,0.07898679541271952,0.6234212571032369,0.2097484175690004,14460.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",6,0.8459008237050141,0.8925816023738873,0.05426267424999176,0.9392070438090184,0.8383189281238955,0.7771050600084131,0.9099729152887622,0.6733079402285379,0.9135276175076256,0.9433474377056889,0.035345521078951836,0.9625318099501966,0.9080019166267368,0.6406825025092004,0.9697261762484276,0.6229712858926342,0.019448503477926704,0.9697261762484276,0.6424197893705609,0.2238376914146719,0.14638971315529178,0.0900270847112378,0.6192018269274457,0.2364167978665296,14460.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",6,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,14460.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",6,0.8381613135054453,0.8836795252225519,0.05291128308651105,0.9401239006039146,0.8307682421360408,0.7343132992504454,0.9328038430078952,0.6180940577914029,0.9402447539597956,0.9548660084626234,0.01733061620753773,0.9818502113867884,0.9375353922550856,0.5283818445410952,0.952890931108789,0.5056179775280899,0.024996766532649702,0.952890931108789,0.5306147440607396,0.17590801039305656,0.11810089020771515,0.06719615699210492,0.6373598068206552,0.18529704719982007,14460.0,0.2,0.02596439169139462,-0.15594576358320208
